date,price,commodity
2021-01-01,1500.0,onion
2021-01-02,1520.3357076505617,onion
2021-01-03,1508.5157784389912,onion
2021-01-04,1536.229889775246,onion
2021-01-05,1607.1567848001423,onion
2021-01-06,1588.8059803679726,onion
2021-01-07,1570.823012913154,onion
2021-01-08,1643.8671934302602,onion
2021-01-09,1674.8615860193004,onion
2021-01-10,1643.3906350021668,onion
2021-01-11,1663.1508244814218,onion
2021-01-12,1632.2169233511702,onion
2021-01-13,1601.7860972056337,onion
2021-01-14,1607.3484888398227,onion
2021-01-15,1505.0375068301362,onion
2021-01-16,1414.1908650678818,onion
2021-01-17,1383.2926713044756,onion
2021-01-18,1330.4852618616649,onion
2021-01-19,1345.0879232541952,onion
2021-01-20,1298.2849610130506,onion
2021-01-21,1227.204076726025,onion
2021-01-22,1301.4424336375823,onion
2021-01-23,1289.624769940504,onion
2021-01-24,1292.70868477609,onion
2021-01-25,1221.1171017698953,onion
2021-01-26,1194.9756235082384,onion
2021-01-27,1202.122240523567,onion
2021-01-28,1146.0301168419803,onion
2021-01-29,1167.3944154224241,onion
2021-01-30,1139.5145926180353,onion
2021-01-31,1127.6396132760108,onion
2021-02-01,1100.5014903990207,onion
2021-02-02,1196.6053698164872,onion
2021-02-03,1197.4984011832607,onion
2021-02-04,1146.1628867118006,onion
2021-02-05,1189.866874582724,onion
2021-02-06,1130.5273545925186,onion
2021-02-07,1143.859987250906,onion
2021-02-08,1048.4992813118993,onion
2021-02-09,986.6199932407397,onion
2021-02-10,1002.2306551693811,onion
2021-02-11,1044.609371065764,onion
2021-02-12,1057.7855977039471,onion
2021-02-13,1056.347471630456,onion
2021-02-14,1045.6653374183825,onion
2021-02-15,976.3259311516434,onion
2021-02-16,946.3072021088751,onion
2021-02-17,929.8491195187082,onion
2021-02-18,989.6082484392799,onion
2021-02-19,1012.4969979489174,onion
2021-02-20,929.5950502218022,onion
2021-02-21,952.7073476871059,onion
2021-02-22,939.899086712548,onion
2021-02-23,912.7550049629991,onion
2021-02-24,950.5837193057826,onion
2021-02-25,1008.6220210444644,onion
2021-02-26,1060.513586579385,onion
2021-02-27,1022.8424386866654,onion
2021-02-28,1012.4249711203714,onion
2021-03-01,1038.7396432681421,onion
2021-03-02,1096.742106758897,onion
2021-03-03,1080.8485527314547,onion
2021-03-04,1079.9486328436346,onion
2021-03-05,1033.0329114864605,onion
2021-03-06,982.5619220526977,onion
2021-03-07,1033.5369747313537,onion
2021-03-08,1110.6782366652676,onion
2021-03-09,1114.8641658529455,onion
2021-03-10,1172.7435274304878,onion
2021-03-11,1197.3704581342597,onion
2021-03-12,1171.1670612413182,onion
2021-03-13,1195.8135002919125,onion
2021-03-14,1278.7990586093729,onion
2021-03-15,1281.4317754816877,onion
2021-03-16,1364.0353227627543,onion
2021-03-17,1235.767361103012,onion
2021-03-18,1282.147139099713,onion
2021-03-19,1290.8565497296274,onion
2021-03-20,1280.0890512117414,onion
2021-03-21,1289.0753090142816,onion
2021-03-22,1193.9153571039512,onion
2021-03-23,1189.0534555699967,onion
2021-03-24,1213.128015034184,onion
2021-03-25,1292.7601569705762,onion
2021-03-26,1270.9914429174823,onion
2021-03-27,1235.1469339144733,onion
2021-03-28,1215.356143056957,onion
2021-03-29,1266.8191260809217,onion
2021-03-30,1287.9202990422875,onion
2021-03-31,1265.67388287309,onion
2021-04-01,1296.023776871296,onion
2021-04-02,1304.957178801272,onion
2021-04-03,1357.290284751891,onion
2021-04-04,1325.0418243629856,onion
2021-04-05,1312.1578805458375,onion
2021-04-06,1296.3093152783129,onion
2021-04-07,1227.2073815661406,onion
2021-04-08,1247.4692477880465,onion
2021-04-09,1265.57262644128,onion
2021-04-10,1270.5168467445774,onion
2021-04-11,1263.3771531409284,onion
2021-04-12,1197.3410729755892,onion
2021-04-13,1182.3619853778096,onion
2021-04-14,1171.5790198439147,onion
2021-04-15,1138.0335759859554,onion
2021-04-16,1137.2086188829358,onion
2021-04-17,1164.666989346004,onion
2021-04-18,1265.6829446196102,onion
2021-04-19,1279.09817636881,onion
2021-04-20,1296.393732377572,onion
2021-04-21,1296.743561941712,onion
2021-04-22,1204.8701299379254,onion
2021-04-23,1209.447033566706,onion
2021-04-24,1218.2696033924233,onion
2021-04-25,1347.0663169488391,onion
2021-04-26,1340.5069423708062,onion
2021-04-27,1358.7741706400707,onion
2021-04-28,1359.863098742007,onion
2021-04-29,1304.2319348861902,onion
2021-04-30,1365.2884369142173,onion
2021-05-01,1405.5793198102717,onion
2021-05-02,1447.0193307662187,onion
2021-05-03,1402.6095714111575,onion
2021-05-04,1474.6970955297395,onion
2021-05-05,1405.1106004795306,onion
2021-05-06,1436.3512431599536,onion
2021-05-07,1547.1469995872533,onion
2021-05-08,1496.6772433389738,onion
2021-05-09,1468.4288119920557,onion
2021-05-10,1474.0428040065967,onion
2021-05-11,1449.3881652206546,onion
2021-05-12,1372.8672303629348,onion
2021-05-13,1378.8380344959776,onion
2021-05-14,1328.1460881197527,onion
2021-05-15,1355.2627878891167,onion
2021-05-16,1312.1863204196443,onion
2021-05-17,1393.4393142621284,onion
2021-05-18,1356.407863360074,onion
2021-05-19,1343.1766302825888,onion
2021-05-20,1386.9889585454207,onion
2021-05-21,1327.7059635528146,onion
2021-05-22,1342.5248410119648,onion
2021-05-23,1411.0314819058467,onion
2021-05-24,1332.4366905396685,onion
2021-05-25,1345.0196496554904,onion
2021-05-26,1361.1133963748018,onion
2021-05-27,1402.9822720361713,onion
2021-05-28,1343.0750910515437,onion
2021-05-29,1280.190758576299,onion
2021-05-30,1310.6840216856178,onion
2021-05-31,1329.3195749135648,onion
2021-06-01,1345.2578259325874,onion
2021-06-02,1365.6750798887845,onion
2021-06-03,1334.360342212084,onion
2021-06-04,1349.2858202258926,onion
2021-06-05,1366.9537274863087,onion
2021-06-06,1333.8970820352642,onion
2021-06-07,1430.5078659517967,onion
2021-06-08,1455.58935467835,onion
2021-06-09,1396.9123927246505,onion
2021-06-10,1431.801825301849,onion
2021-06-11,1384.4317052844458,onion
2021-06-12,1426.0973013658795,onion
2021-06-13,1485.5051342889321,onion
2021-06-14,1444.760915685568,onion
2021-06-15,1494.0345038340727,onion
2021-06-16,1514.792860104216,onion
2021-06-17,1555.6000109018562,onion
2021-06-18,1649.3276598165164,onion
2021-06-19,1634.0717008200427,onion
2021-06-20,1593.7034585857675,onion
2021-06-21,1547.353667932776,onion
2021-06-22,1505.6160803258485,onion
2021-06-23,1501.6486732486262,onion
2021-06-24,1518.6732985244857,onion
2021-06-25,1532.134372520497,onion
2021-06-26,1572.8508475218882,onion
2021-06-27,1572.0439251653459,onion
2021-06-28,1643.2797505199046,onion
2021-06-29,1627.1813138476089,onion
2021-06-30,1760.6461459001375,onion
2021-07-01,1794.2165903703851,onion
2021-07-02,1752.9743807421632,onion
2021-07-03,1701.8702682242645,onion
2021-07-04,1729.4564836219386,onion
2021-07-05,1721.1942146832073,onion
2021-07-06,1759.9703550941476,onion
2021-07-07,1785.9328292209418,onion
2021-07-08,1784.0727270036793,onion
2021-07-09,1743.5515865601853,onion
2021-07-10,1670.4381935946885,onion
2021-07-11,1652.2036821194436,onion
2021-07-12,1699.4795481932283,onion
2021-07-13,1713.694644435874,onion
2021-07-14,1654.633812611557,onion
2021-07-15,1667.7001826518851,onion
2021-07-16,1691.112047985289,onion
2021-07-17,1650.5969352155266,onion
2021-07-18,1662.7712518084925,onion
2021-07-19,1669.9262626946224,onion
2021-07-20,1616.8792225491986,onion
2021-07-21,1639.9310061156289,onion
2021-07-22,1672.671612311728,onion
2021-07-23,1730.8707422242574,onion
2021-07-24,1786.4434299815173,onion
2021-07-25,1719.3310929840322,onion
2021-07-26,1675.5532191285954,onion
2021-07-27,1705.2939181064564,onion
2021-07-28,1734.3773372899377,onion
2021-07-29,1762.9421748594414,onion
2021-07-30,1957.8199058949886,onion
2021-07-31,1984.7080333117472,onion
2021-08-01,2039.2921546545422,onion
2021-08-02,2083.7063997361115,onion
2021-08-03,2112.101834306679,onion
2021-08-04,2091.5963353885277,onion
2021-08-05,2125.2128697054204,onion
2021-08-06,2081.5673515844333,onion
